English Text (en_XX),Malayalam Text (ml_IN)
"en_XX: THE BOY’S NAME WAS SANTIAGO. DUSK WAS FALLING AS the boy arrived with his herd at an abandoned church. The roof had fallen in long ago, and an enormous sycamore had grown on the spot where the sacristy had once stood.",ml_IN: സ്പാ? എന്നായിരുന്നു അവന്റെ പേര്‌. ഒരു ദിവസം സന്ധ്യ മയങ്ങാന്‍ തുടങ്ങിയ നേരത്ത്‌ തന്റെ ആട്ടിന്‍പറ്റവുമായി അവന്‍ ഉപേക്ഷിക്കപ്പെട്ട ഒരു പള്ളിക്കരുകില്‍ ചെന്നെത്തി. അതിന്റെ മേല്‍ക്കൂര വളരെ പണ്ടേ ഇടിഞ്ഞുപൊളിഞ്ഞു വീണതാണ്‌. ഒരിക്കല്‍ സ്രക്രാരി നിന്ന സ്ഥാനത്ത്‌ ഇപ്പോള്‍ ഒരുക്കന്‍ സൈക്കമോര്‍ മരം വളര്‍ന്നു നില്‍ക്കുന്നു.
"en_XX: He decided to spend the night there. He saw to it that all the sheep entered through the ruined gate, and then laid some planks across it to prevent the flock from wandering away during the night.","ml_IN: ആ രാത്രി അവിടെ കഴിച്ചുകൂട്ടാന്‍ അവന്‍ തീരുമാനിച്ചു. തകര്‍ന്നു കിട ന്നിരുന്ന പടിവാതിലിലൂടെ ആടുകളെ ഒന്നൊഴിയാതെ അവന്‍ അകത്തേക്കു തെളിച്ചു. രാത്രിയില്‍ അവ അലഞ്ഞു തിരിയുന്നതു തടയാനായി അവിടെ കിടന്നിരുന്ന രണ്ടു പൊളിഞ്ഞ മരപ്പലകകളെടുത്തു പടിവാതില്‍ അടച്ചുറ പ്പിച്ചു. ശ്രദ്ധിക്കാതെ പറ്റുമോ? ആ പരിസരത്തൊന്നും ചെന്നായ്ക്കളുടെ ശല്യമില്ല. എങ്കിലും ആട്ടിന്‍കുട്ടികളല്ലേ? തരം കിട്ടിയാല്‍ അവ പുറത്തേക്കു ചാടും. ഒരിക്കല്‍ അങ്ങനെയൊരബദ്ധം പറ്റി. ഒരു കുഞ്ഞാട്‌ അവന്റെ കണ്ണുവെട്ടിച്ച്‌ രാത്രി പുറത്തേക്കു ചാടി. പിറ്റേന്നു മുഴുവന്‍ സമയവും അവനു തെണ്ടിത്തിരയേണ്ടിവന്നു, അതിനെ കണ്ടുപിടിച്ച്‌ വീണ്ടും കൂട്ടത്തിലെത്തി ക്കാന്‍."
"en_XX: He swept the floor with his jacket and lay down, using the book he had just finished reading as a pillow. He told himself that he would have to start reading thicker books: they lasted longer, and made more comfortable pillows.","ml_IN: ഇട്ടിരുന്ന കോട്ടൂരി, അതുകൊണ്ടുതന്നെ നിലത്തെ പൊടിയൊന്നടിച്ചു മാറ്റി അവന്‍ കിടക്കാന്‍ വട്ടംകൂട്ടി. വായിക്കാന്‍ കൈയില്‍ കരുതിയിരുന്ന പുസ്തകമെടുത്ത്‌ തലയിണയായി വെച്ചു. “അടുത്ത തവണ കുറച്ചുകൂടി കനമുള്ള പുസ്തകം തിരഞ്ഞെടുക്കണം.” അവന്‍ തന്നത്താന്‍ പറഞ്ഞു."
"en_XX: It was still dark when he awoke, and, looking up, he could see the stars through the half-destroyed roof.",ml_IN: റക്കമുണര്‍ന്നപ്പോള്‍ ആദ്യം മാനത്തേക്കാണവന്‍ നോക്കിയത്‌. ഇരുട്ട കന്നിട്ടില്ല: പള്ളിയുടെ പാതി പൊളിഞ്ഞ മേല്‍ക്കൂരയിലൂടെ ആകാശ ത്തങ്ങിങ്ങു ചില നക്ഷ്രതങ്ങള്‍ കാണാം.
"en_XX: I wanted to sleep a little longer, he thought. He had had the same dream that night as a week ago, and once again he had awakened before it ended.","ml_IN: കുറച്ചുനേരം കൂടി ഉറങ്ങാമായിരുന്നുവെന്ന്‌ അവനു തോന്നി. ആ സ്വപ്ന മാണ്‌ പെട്ടെന്നു തന്നെ ഉണര്‍ത്തിയത്‌. കഴിഞ്ഞയാഴ്ചയും കണ്ടു, ഇതേ സ്വപ്നം. അന്നും ഇതുപോലെതന്നെ. മുഴുവന്‍ കാണും മുമ്പേ ഞെട്ടിയു ണര്‍ന്നു."
"en_XX: The boy prodded them, one by one, with his crook, calling each by name. He had always believed that the sheep were able to understand what he said. So there were times when he read them parts of his books that had made an impression on him, or when he would tell them of the loneliness or the happiness of a shepherd in the fields. Sometimes he would comment to them on the things he had seen in the villages they passed.",ml_IN: കൂട്ടത്തില്‍ ചില മടിയന്മാരുണ്ട്‌. നല്ലവണ്ണം തട്ടിവിളിച്ചാലേ എഴു ന്നേല്‍ക്കു എന്നു ശാഠ്യം പിടിക്കുന്നവര്‍. അത്തരക്കാരെ വടിയുടെ അറ്റം കൊണ്ട തെല്ലു ബലമായൊന്നു തട്ടി ഓരോന്നിനെയും പേരു വിളിച്ച്‌ അവന്‍ എഴുന്നേല്പിച്ചു. താന്‍ പറയുന്നതൊക്കെ തന്റെ ആടുകള്‍ മനസ്സിലാക്കു ന്നുണ്ട്‌ എന്നായിരുന്നു അവന്റെ വിശ്വാസം. അതുകൊണ്ടുതന്നെ പുല്ലും വെള്ളവും തേടി ഈരു തെണ്ടുന്നതിനിടയില്‍ അവറ്റയോട്‌ മിണ്ടുകയും പറയുകയും അവന്‌ ഒരു രസമായിരുന്നു. ഇടയ്ക്ക്‌ താന്‍ വായിക്കുന്ന പുസ്തകങ്ങളിലെ രസകരമായ ഭാഗങ്ങള്‍ അവന്‍ അവയെ വായിച്ചു കേള്‍ പ്പിക്കും. ചിലപ്പോള്‍ ഒരു പാവം ഇടയന്റെ ഏകാന്തജീവിതത്തിലെ വേദന കളും ആഹ്ളാദങ്ങളും അവയുമായി പങ്കുവെയ്ക്കും. കടന്നുപോകുന്ന വഴിയിലെ കഈതുകമുണര്‍ത്തുന്ന വിശേഷങ്ങളും അവന്‍ അവയ്ക്കു പറഞ്ഞുകൊടുക്കുമായിരുന്നു.
"en_XX: But for the past few days he had spoken to them about only one thing: the girl, the daughter of a merchant who lived in the village they would reach in about four days. He had been to the village only once, the year before. The merchant was the proprietor of a dry goods shop, and he always demanded that the sheep be sheared in his presence, so that he would not be cheated. A friend had told the boy about the shop, and he had taken his sheep there.","ml_IN: പക്ഷേ, കഴിഞ്ഞ ഏതാനും ദിവസങ്ങളായി അവന്റെ വര്‍ത്തമാനം മുഴുവന്‍ ആ പെണ്‍കുട്ടിയെ കുറിച്ചുമാധ്രമായിരുന്നു. ഇനി നാലേനാലു ദിവസത്തെ വഴി. പിന്നെ അവളുടെ ഗ്രാമമായി. ഒരു പലചരക്കു കച്ചവട ക്കാരനായിരുന്നു അവളുടെ അച്ഛന്‍. കഴിഞ്ഞ ഒരു വര്‍ഷം മാത്രമേ അവന്‍ അവിടെ പോയിട്ടുള്ളു. ഒരു ചങ്ങാതിയുടെ നിര്‍ദ്ദേശപ്രകാരം അവന്‍ തന്റെ ആട്ടിന്‍പറ്റത്തെ അവിടെ കൊണ്ടു ചെന്നു. അവയുടെ രോമമെല്ലാം വില യ്ക്കെടുക്കാന്‍ അയാള്‍ തയ്യാറായിരുന്നു. പക്ഷേ, രോമം വെട്ടുന്നത്‌ സ്വന്തം കണ്‍മുമ്പില്‍തന്നെ വേണമെന്ന്‌ അയാള്‍ നിര്‍ബന്ധം പിടിച്ചു... അല്ലെങ്കില്‍ ഇടയന്‍ തന്നെ കബളിപ്പിച്ചാലോ?"
"en_XX: The shop was busy, and the man asked the shepherd to wait until the afternoon. So the boy sat on the steps of the shop and took a book from his bag.",ml_IN: അന്ന്‌ ആ കടയുടെ മുമ്പില്‍ ചെന്നുനിന്ന്‌ ആ ഇടയബാലന്‍ കച്ചവടക്കാര നോടു ചോദിച്ചു. “ഉച്ചതിരിഞ്ഞു വാ.” മുതലാളി മറുപടി പറഞ്ഞു. കടയില്‍ നല്ല തിരക്കുള്ള സമയമായിരുന്നു. കുറച്ചുമാറി കടയിലേക്കുള്ള കല്പട വുകളിലൊന്നില്‍ അവന്‍ കാത്തിരുന്നു. സഞ്ചി തുറന്ന്‌ ഒരു പുസ്തകമെ ടുത്തു വായിക്കാന്‍ തുടങ്ങി.
en_XX: “How did you learn to read?” the girl asked at one point.,ml_IN: “അപ്പോ നിങ്ങളെങ്ങനെയാണ്‌ വായിക്കാന്‍ പഠിച്ചത്‌?” അവളുടെ ചോദ്യം.
"en_XX: “Like everybody learns,” he said. “In school.”",ml_IN: “സാധാരണ എല്ലാവരും പഠിക്കുന്നതുപോലെതന്നെ; സ്‌കൂളില്‍ പോയി.” അവന്റെ ഉത്തരം.
