English Text (en_xx),Malayalam Text (ml_xx)
"en_xx: He decided to spend the night there. He saw to it that all the sheep entered through the ruined gate, and then laid some planks across it to prevent the flock from wandering away during the night.","ml_xx: ആ രാത്രി അവിടെ കഴിച്ചുകൂട്ടാന്‍ അവന്‍ തീരുമാനിച്ചു. തകര്‍ന്നു കിട ന്നിരുന്ന പടിവാതിലിലൂടെ ആടുകളെ ഒന്നൊഴിയാതെ അവന്‍ അകത്തേക്കു തെളിച്ചു. രാത്രിയില്‍ അവ അലഞ്ഞു തിരിയുന്നതു തടയാനായി അവിടെ കിടന്നിരുന്ന രണ്ടു പൊളിഞ്ഞ മരപ്പലകകളെടുത്തു പടിവാതില്‍ അടച്ചുറ പ്പിച്ചു. ശ്രദ്ധിക്കാതെ പറ്റുമോ? ആ പരിസരത്തൊന്നും ചെന്നായ്ക്കളുടെ ശല്യമില്ല. എങ്കിലും ആട്ടിന്‍കുട്ടികളല്ലേ? തരം കിട്ടിയാല്‍ അവ പുറത്തേക്കു ചാടും. ഒരിക്കല്‍ അങ്ങനെയൊരബദ്ധം പറ്റി. ഒരു കുഞ്ഞാട്‌ അവന്റെ കണ്ണുവെട്ടിച്ച്‌ രാത്രി പുറത്തേക്കു ചാടി. പിറ്റേന്നു മുഴുവന്‍ സമയവും അവനു തെണ്ടിത്തിരയേണ്ടിവന്നു, അതിനെ കണ്ടുപിടിച്ച്‌ വീണ്ടും കൂട്ടത്തിലെത്തി ക്കാന്‍."
"en_xx: I wanted to sleep a little longer, he thought. He had had the same dream that night as a week ago, and once again he had awakened before it ended.","ml_xx: കുറച്ചുനേരം കൂടി ഉറങ്ങാമായിരുന്നുവെന്ന്‌ അവനു തോന്നി. ആ സ്വപ്ന മാണ്‌ പെട്ടെന്നു തന്നെ ഉണര്‍ത്തിയത്‌. കഴിഞ്ഞയാഴ്ചയും കണ്ടു, ഇതേ സ്വപ്നം. അന്നും ഇതുപോലെതന്നെ. മുഴുവന്‍ കാണും മുമ്പേ ഞെട്ടിയു ണര്‍ന്നു."
"en_xx: The boy prodded them, one by one, with his crook, calling each by name. He had always believed that the sheep were able to understand what he said. So there were times when he read them parts of his books that had made an impression on him, or when he would tell them of the loneliness or the happiness of a shepherd in the fields. Sometimes he would comment to them on the things he had seen in the villages they passed.",ml_xx: കൂട്ടത്തില്‍ ചില മടിയന്മാരുണ്ട്‌. നല്ലവണ്ണം തട്ടിവിളിച്ചാലേ എഴു ന്നേല്‍ക്കു എന്നു ശാഠ്യം പിടിക്കുന്നവര്‍. അത്തരക്കാരെ വടിയുടെ അറ്റം കൊണ്ട തെല്ലു ബലമായൊന്നു തട്ടി ഓരോന്നിനെയും പേരു വിളിച്ച്‌ അവന്‍ എഴുന്നേല്പിച്ചു. താന്‍ പറയുന്നതൊക്കെ തന്റെ ആടുകള്‍ മനസ്സിലാക്കു ന്നുണ്ട്‌ എന്നായിരുന്നു അവന്റെ വിശ്വാസം. അതുകൊണ്ടുതന്നെ പുല്ലും വെള്ളവും തേടി ഈരു തെണ്ടുന്നതിനിടയില്‍ അവറ്റയോട്‌ മിണ്ടുകയും പറയുകയും അവന്‌ ഒരു രസമായിരുന്നു. ഇടയ്ക്ക്‌ താന്‍ വായിക്കുന്ന പുസ്തകങ്ങളിലെ രസകരമായ ഭാഗങ്ങള്‍ അവന്‍ അവയെ വായിച്ചു കേള്‍ പ്പിക്കും. ചിലപ്പോള്‍ ഒരു പാവം ഇടയന്റെ ഏകാന്തജീവിതത്തിലെ വേദന കളും ആഹ്ളാദങ്ങളും അവയുമായി പങ്കുവെയ്ക്കും. കടന്നുപോകുന്ന വഴിയിലെ കഈതുകമുണര്‍ത്തുന്ന വിശേഷങ്ങളും അവന്‍ അവയ്ക്കു പറഞ്ഞുകൊടുക്കുമായിരുന്നു.
"en_xx: But for the past few days he had spoken to them about only one thing: the girl, the daughter of a merchant who lived in the village they would reach in about four days. He had been to the village only once, the year before. The merchant was the proprietor of a dry goods shop, and he always demanded that the sheep be sheared in his presence, so that he would not be cheated. A friend had told the boy about the shop, and he had taken his sheep there.","ml_xx: പക്ഷേ, കഴിഞ്ഞ ഏതാനും ദിവസങ്ങളായി അവന്റെ വര്‍ത്തമാനം മുഴുവന്‍ ആ പെണ്‍കുട്ടിയെ കുറിച്ചുമാധ്രമായിരുന്നു. ഇനി നാലേനാലു ദിവസത്തെ വഴി. പിന്നെ അവളുടെ ഗ്രാമമായി. ഒരു പലചരക്കു കച്ചവട ക്കാരനായിരുന്നു അവളുടെ അച്ഛന്‍. കഴിഞ്ഞ ഒരു വര്‍ഷം മാത്രമേ അവന്‍ അവിടെ പോയിട്ടുള്ളു. ഒരു ചങ്ങാതിയുടെ നിര്‍ദ്ദേശപ്രകാരം അവന്‍ തന്റെ ആട്ടിന്‍പറ്റത്തെ അവിടെ കൊണ്ടു ചെന്നു. അവയുടെ രോമമെല്ലാം വില യ്ക്കെടുക്കാന്‍ അയാള്‍ തയ്യാറായിരുന്നു. പക്ഷേ, രോമം വെട്ടുന്നത്‌ സ്വന്തം കണ്‍മുമ്പില്‍തന്നെ വേണമെന്ന്‌ അയാള്‍ നിര്‍ബന്ധം പിടിച്ചു... അല്ലെങ്കില്‍ ഇടയന്‍ തന്നെ കബളിപ്പിച്ചാലോ?"
en_xx: “How did you learn to read?” the girl asked at one point.,ml_xx: “അപ്പോ നിങ്ങളെങ്ങനെയാണ്‌ വായിക്കാന്‍ പഠിച്ചത്‌?” അവളുടെ ചോദ്യം.
"en_xx: “Like everybody learns,” he said. “In school.”",ml_xx: “സാധാരണ എല്ലാവരും പഠിക്കുന്നതുപോലെതന്നെ; സ്‌കൂളില്‍ പോയി.” അവന്റെ ഉത്തരം.
"en_xx: “Well, if you know how to read, why are you just a shepherd?”","ml_xx: “അത്രയ്ക്കൊക്കെ പഠിപ്പുണ്ടെങ്കില്‍ പിന്നെ, നിങ്ങള്‍ വെറുമൊരു ആട്ടി ടയനായതെന്തിനാ?"""
"en_xx: “But I’d like to see the castles in the towns where they live,” the boy explained.","ml_xx: “എന്നാലും, അവര്‍ താമസിക്കുന്ന നഗരങ്ങളിലെ കൊട്ടാരങ്ങള്‍ എനിക്കു നേരിട്ടു കാണുകതന്നെ വേണം.” അവന്‍ ശാഠ്യം പിടിച്ചു."
"en_xx: “Those people, when they see our land, say that they would like to live here forever,” his father continued.",ml_xx: “നമ്മുടെ നാടുകാണുന്നവര്‍ പറയാറുള്ളത്‌ അവര്‍ ഇവിടെത്തന്നെ തങ്ങാനാണാഗ്രഹിക്കുന്നത്‌ എന്നാണല്ലൊ.” അവന്റെ പിതാവ്‌ തടര്‍ന്നു പറഞ്ഞു.
"en_xx: “Well, I’d like to see their land, and see how they live,” said his son.",ml_xx: “ആയിക്കോട്ടെ.” അവന്‍ പറഞ്ഞു: “ഞാന്‍ അവരുടെ നാടുകള്‍ കാണാ നാഗ്രഹിക്കുന്നു; അവരെങ്ങനെ ജീവിക്കുന്നു എന്നറിയാനും.”
